dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
226,0,27
234,0,28
243,0,29
252,0,30
261,0,31
270,0,32
279,0,33
288,0,34
297,0,35
306,0,36
315,0,37
315,0,38
322,0,39
330,0,40
339,0,41
348,0,42
357,0,43
366,0,44
375,0,45
384,0,46
393,0,47
402,0,48
411,0,49
411,0,50
418,0,51
426,0,52
435,0,53
444,0,54
453,0,55
462,0,56
471,0,57
480,0,58
489,0,59
498,0,60
507,0,61
507,0,62
507,0,63
507,0,64
507,0,65
507,0,66
507,0,67
507,0,68
507,0,69
507,0,70
507,0,71
507,0,72
507,0,73
507,0,74
507,0,75
507,0,76
507,0,77
507,0,78
507,0,79
507,0,80
507,0,81
507,0,82
507,0,83
507,0,84
507,0,85
507,0,86
507,0,87
507,0,88
507,0,89
507,0,90
507,0,91
507,0,92
507,0,93
507,0,94
507,0,95
507,0,96
507,0,97
507,0,98
507,0,99
507,0,100
507,0,101
507,0,102
507,0,103
507,0,104
507,0,105
507,0,106
507,0,107
507,0,108
507,0,109
507,0,110
507,0,111
507,0,112
507,0,113
507,0,114
507,0,115
507,0,116
507,0,117
507,2,118
507,6,119
507,12,120
507,21,121
507,30,122
507,39,123
507,48,124
507,57,125
507,66,126
507,75,127
507,84,128
507,93,129
507,102,130
507,111,131
507,120,132
507,129,133
507,138,134
507,147,135
507,156,136
507,165,137
507,174,138
507,183,139
507,192,140
507,201,141
507,210,142
507,219,143
507,228,144
507,237,145
507,246,146
507,255,147
507,264,148
507,273,149
507,282,150
507,291,151
507,300,152
507,309,153
507,318,154
507,327,155
507,336,156
507,345,157
507,354,158
507,363,159
507,372,160
507,381,161
507,390,162
507,399,163
507,408,164
507,417,165
507,426,166
507,435,167
507,444,168
507,453,169
507,462,170
507,471,171
507,480,172
507,489,173
507,498,174
507,507,175
507,507,176
507,507,177
507,507,178
507,507,179
507,507,180
507,507,181
507,507,182
507,507,183
507,507,184
507,507,185
507,507,186
507,507,187
507,507,188
507,507,189
507,507,190
507,507,191
507,507,192
507,507,193
507,507,194
507,507,195
507,507,196
507,507,197
507,507,198
507,507,199
507,507,200
507,507,201
507,507,202
507,507,203
507,507,204
507,507,205
507,507,206
507,507,207
507,507,208
507,507,209
507,507,210
507,507,211
507,507,212
507,507,213
507,507,214
507,507,215
507,507,216
507,507,217
507,507,218
507,507,219
507,507,220
507,507,221
507,507,222
507,507,223
507,507,224
507,507,225
507,507,226
507,507,227
507,507,228
507,507,229
507,507,230
507,507,231
507,507,232
507,507,233
507,507,234
507,507,235
