dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
219,0,27
228,0,28
237,0,29
246,0,30
255,0,31
264,0,32
273,0,33
282,0,34
291,0,35
300,0,36
309,0,37
318,0,38
318,0,39
325,0,40
333,0,41
342,0,42
351,0,43
360,0,44
369,0,45
378,0,46
387,0,47
396,0,48
405,0,49
414,0,50
414,0,51
414,0,52
419,0,53
426,0,54
435,0,55
445,0,56
456,0,57
468,0,58
481,0,59
494,0,60
507,0,61
507,0,62
507,0,63
507,0,64
507,0,65
507,0,66
507,0,67
507,0,68
507,0,69
507,0,70
507,0,71
507,0,72
507,0,73
507,0,74
507,0,75
507,0,76
507,0,77
507,0,78
507,0,79
507,0,80
507,0,81
507,0,82
507,0,83
507,0,84
507,0,85
507,0,86
507,0,87
507,0,88
507,0,89
507,0,90
507,0,91
507,0,92
507,0,93
507,0,94
507,0,95
507,0,96
507,0,97
507,0,98
507,0,99
507,0,100
507,0,101
507,0,102
507,0,103
507,0,104
507,0,105
507,0,106
507,0,107
507,0,108
507,0,109
507,0,110
507,0,111
507,0,112
507,2,113
507,6,114
507,12,115
507,21,116
507,30,117
507,39,118
507,48,119
507,57,120
507,66,121
507,75,122
507,84,123
507,93,124
507,102,125
507,111,126
507,120,127
507,129,128
507,138,129
507,147,130
507,156,131
507,165,132
507,174,133
507,183,134
507,192,135
507,201,136
507,210,137
507,219,138
507,228,139
507,237,140
507,246,141
507,255,142
507,264,143
507,273,144
507,282,145
507,291,146
507,300,147
507,309,148
507,318,149
507,327,150
507,336,151
507,345,152
507,354,153
507,363,154
507,372,155
507,381,156
507,390,157
507,399,158
507,408,159
507,417,160
507,426,161
507,435,162
507,444,163
507,453,164
507,462,165
507,471,166
507,480,167
507,489,168
507,498,169
507,507,170
507,507,171
507,507,172
507,507,173
507,507,174
507,507,175
507,507,176
507,507,177
507,507,178
507,507,179
507,507,180
507,507,181
507,507,182
507,507,183
507,507,184
507,507,185
507,507,186
507,507,187
507,507,188
507,507,189
507,507,190
507,507,191
507,507,192
507,507,193
507,507,194
507,507,195
507,507,196
507,507,197
507,507,198
507,507,199
507,507,200
507,507,201
507,507,202
507,507,203
507,507,204
507,507,205
507,507,206
507,507,207
507,507,208
507,507,209
507,507,210
507,507,211
507,507,212
507,507,213
507,507,214
507,507,215
507,507,216
507,507,217
507,507,218
507,507,219
507,507,220
507,507,221
507,507,222
507,507,223
507,507,224
507,507,225
507,507,226
507,507,227
507,507,228
507,507,229
507,507,230
507,507,231
507,507,232
507,507,233
507,507,234
507,507,235
