dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
228,0,27
237,0,28
246,0,29
255,0,30
264,0,31
273,0,32
282,0,33
291,0,34
300,0,35
309,0,36
318,0,37
318,0,38
325,0,39
333,0,40
342,0,41
351,0,42
360,0,43
369,0,44
378,0,45
387,0,46
396,0,47
405,0,48
414,0,49
414,0,50
427,0,51
440,0,52
453,0,53
466,0,54
479,0,55
492,0,56
505,0,57
505,0,58
505,0,59
505,0,60
505,0,61
505,0,62
505,0,63
505,0,64
505,0,65
505,0,66
505,0,67
505,0,68
505,0,69
505,0,70
505,0,71
505,0,72
505,0,73
505,0,74
505,0,75
505,0,76
505,0,77
505,0,78
505,0,79
505,0,80
505,0,81
505,0,82
505,0,83
505,0,84
505,0,85
505,0,86
505,0,87
505,0,88
505,0,89
505,0,90
505,0,91
505,0,92
505,0,93
505,0,94
505,0,95
505,0,96
505,0,97
505,0,98
505,0,99
505,0,100
505,0,101
505,0,102
505,0,103
505,0,104
505,0,105
505,0,106
505,0,107
505,0,108
505,0,109
505,0,110
505,0,111
505,0,112
505,0,113
505,0,114
505,0,115
505,0,116
505,0,117
505,0,118
505,0,119
505,0,120
505,2,121
505,6,122
505,12,123
505,21,124
505,30,125
505,39,126
505,48,127
505,57,128
505,66,129
505,75,130
505,84,131
505,93,132
505,102,133
505,111,134
505,120,135
505,129,136
505,138,137
505,147,138
505,156,139
505,165,140
505,174,141
505,183,142
505,192,143
505,201,144
505,210,145
505,219,146
505,228,147
505,237,148
505,246,149
505,255,150
505,264,151
505,273,152
505,282,153
505,291,154
505,300,155
505,309,156
505,318,157
505,327,158
505,336,159
505,345,160
505,354,161
505,363,162
505,372,163
505,381,164
505,390,165
505,399,166
505,408,167
505,417,168
505,426,169
505,435,170
505,444,171
505,453,172
505,462,173
505,471,174
505,480,175
505,489,176
505,498,177
505,507,178
505,507,179
505,507,180
505,507,181
505,507,182
505,507,183
505,507,184
505,507,185
505,507,186
505,507,187
505,507,188
505,507,189
505,507,190
505,507,191
505,507,192
505,507,193
505,507,194
505,507,195
505,507,196
505,507,197
505,507,198
505,507,199
505,507,200
505,507,201
505,507,202
505,507,203
505,507,204
505,507,205
505,507,206
505,507,207
505,507,208
505,507,209
505,507,210
505,507,211
505,507,212
505,507,213
505,507,214
505,507,215
505,507,216
505,507,217
505,507,218
505,507,219
505,507,220
505,507,221
505,507,222
505,507,223
505,507,224
505,507,225
505,507,226
505,507,227
505,507,228
505,507,229
505,507,230
505,507,231
505,507,232
505,507,233
505,507,234
505,507,235
