dig,dump,employment,it
0,0,0.0,0
5,0,0.0,1
12,0,0.0,2
21,0,0.0,3
30,0,0.0,4
39,0,0.0,5
48,0,0.0,6
57,0,0.0,7
66,0,0.0,8
75,0,0.0,9
84,0,0.0,10
93,0,0.0,11
102,0,0.0,12
111,0,0.0,13
120,0,0.0,14
129,0,0.0,15
138,0,0.0,16
147,0,0.0,17
156,0,0.0,18
165,0,0.0,19
174,0,0.0,20
183,0,0.0,21
192,0,0.0,22
201,0,0.0,23
210,0,0.0,24
219,0,0.0,25
219,0,0.0,26
228,0,0.0,27
237,0,0.0,28
246,0,0.0,29
255,0,0.0,30
264,0,0.0,31
273,0,0.0,32
282,0,0.0,33
291,0,0.0,34
300,0,0.0,35
309,0,0.0,36
318,0,0.0,37
327,0,0.0,38
336,0,0.0,39
345,0,0.0,40
354,0,0.0,41
363,0,0.0,42
372,0,0.0,43
381,0,0.0,44
390,0,0.0,45
399,0,0.0,46
408,0,0.0,47
417,0,0.0,48
426,0,0.0,49
435,0,0.0,50
444,0,0.0,51
453,0,0.0,52
462,0,0.0,53
471,0,0.0,54
480,0,0.0,55
489,0,0.0,56
498,0,0.0,57
498,0,0.0,58
498,0,0.0,59
505,0,0.0,60
505,0,0.0,61
505,0,0.0,62
505,0,0.0,63
505,0,0.0,64
505,0,0.0,65
505,0,0.0,66
505,0,0.0,67
505,0,0.0,68
505,0,0.0,69
505,0,0.0,70
505,0,0.0,71
505,0,0.0,72
505,0,0.0,73
505,0,0.0,74
505,0,0.0,75
505,0,0.0,76
505,0,0.0,77
505,0,0.0,78
505,0,0.0,79
505,0,0.0,80
505,0,0.0,81
505,0,0.0,82
505,0,0.0,83
505,0,0.0,84
505,0,0.0,85
505,0,0.0,86
505,0,0.0,87
505,0,0.0,88
505,0,0.0,89
505,0,0.0,90
505,0,0.0,91
505,0,0.0,92
505,0,0.0,93
505,0,0.0,94
505,0,0.0,95
505,0,0.0,96
505,0,0.0,97
505,0,0.0,98
505,0,0.0,99
505,0,0.0,100
505,0,0.0,101
505,0,0.0,102
505,0,0.0,103
505,0,0.0,104
505,0,0.0,105
505,0,0.0,106
505,0,0.0,107
505,0,0.0,108
505,0,0.0,109
505,0,0.0,110
505,0,0.0,111
505,0,0.0,112
505,0,0.0,113
505,0,0.0,114
505,0,0.0,115
505,0,0.0,116
505,0,0.0,117
505,0,0.0,118
505,0,0.0,119
505,0,0.0,120
505,0,0.0,121
505,0,0.0,122
505,0,0.0,123
505,2,0.0,124
505,6,0.0,125
505,12,0.0,126
505,21,0.0,127
505,30,0.0,128
505,39,0.0,129
505,48,0.0,130
505,57,0.0,131
505,66,0.0,132
505,75,0.0,133
505,84,0.0,134
505,93,0.0,135
505,102,0.0,136
505,111,0.0,137
505,120,0.0,138
505,129,0.0,139
505,138,0.0,140
505,147,0.0,141
505,156,0.0,142
505,165,0.0,143
505,174,0.0,144
505,183,0.0,145
505,192,0.0,146
505,201,0.0,147
505,210,0.0,148
505,219,0.0,149
505,228,0.0,150
505,237,0.0,151
505,246,0.0,152
505,255,0.0,153
505,264,0.0,154
505,273,0.0,155
505,282,0.0,156
505,291,0.0,157
505,300,0.0,158
505,309,0.0,159
505,318,0.0,160
505,327,0.0,161
505,336,0.0,162
505,345,0.0,163
505,354,0.0,164
505,363,0.0,165
505,372,0.0,166
505,381,0.0,167
505,390,0.0,168
505,399,0.0,169
505,408,0.0,170
505,417,0.0,171
505,426,0.0,172
505,435,0.0,173
505,444,0.0,174
505,453,0.0,175
505,462,0.0,176
505,471,0.0,177
505,480,0.0,178
505,489,0.0,179
505,498,0.0,180
505,507,0.0,181
505,507,0.0,182
505,507,0.0,183
505,507,0.0,184
505,507,0.0,185
505,507,0.0,186
505,507,0.0,187
505,507,0.0,188
505,507,0.0,189
505,507,0.0,190
505,507,0.0,191
505,507,0.0,192
505,507,0.0,193
505,507,0.0,194
505,507,0.0,195
505,507,0.0,196
505,507,0.0,197
505,507,0.0,198
505,507,0.0,199
505,507,0.0,200
505,507,0.0,201
505,507,0.0,202
505,507,0.0,203
505,507,0.0,204
505,507,0.0,205
505,507,0.0,206
505,507,0.0,207
505,507,0.0,208
505,507,0.0,209
505,507,0.0,210
505,507,0.0,211
505,507,0.0,212
505,507,0.0,213
505,507,0.0,214
505,507,0.0,215
505,507,0.0,216
505,507,0.0,217
505,507,0.0,218
505,507,0.0,219
505,507,0.0,220
505,507,0.0,221
505,507,0.0,222
505,507,0.0,223
505,507,0.0,224
505,507,0.0,225
505,507,0.0,226
505,507,0.0,227
505,507,0.0,228
505,507,0.0,229
505,507,0.0,230
505,507,0.0,231
505,507,0.0,232
505,507,0.0,233
505,507,0.0,234
505,507,0.0,235
505,507,0.0,236
505,507,0.0,237
505,507,0.0,238
505,507,0.0,239
505,507,0.0,240
505,507,0.0,241
505,507,0.0,242
505,507,0.0,243
505,507,0.0,244
505,507,0.0,245
505,507,0.0,246
505,507,0.0,247
505,507,0.0,248
505,507,0.0,249
505,507,0.0,250
505,507,0.0,251
505,507,0.0,252
505,507,0.0,253
505,507,0.0,254
505,507,0.0,255
505,507,0.0,256
505,507,0.0,257
505,507,0.0,258
505,507,0.0,259
505,507,0.0,260
505,507,0.0,261
505,507,0.0,262
505,507,0.0,263
505,507,0.0,264
505,507,0.0,265
505,507,0.0,266
505,507,0.0,267
505,507,0.0,268
505,507,0.0,269
505,507,0.0,270
505,507,0.0,271
505,507,0.0,272
505,507,0.0,273
505,507,0.0,274
505,507,0.0,275
505,507,0.0,276
505,507,0.0,277
505,507,0.0,278
505,507,0.0,279
505,507,0.0,280
505,507,0.0,281
505,507,0.0,282
505,507,0.0,283
505,507,0.0,284
505,507,0.0,285
505,507,0.0,286
