dig,dump,it
15,0,0
30,0,1
47,0,2
72,0,3
88,0,4
111,0,5
134,0,6
159,0,7
186,0,8
211,0,9
225,0,10
246,0,11
271,0,12
297,0,13
320,0,14
345,0,15
370,0,16
395,0,17
422,0,18
444,0,19
460,0,20
485,0,21
504,0,22
527,0,23
549,0,24
570,0,25
589,0,26
609,0,27
634,0,28
653,0,29
672,0,30
695,0,31
721,0,32
743,0,33
768,0,34
787,0,35
810,0,36
835,0,37
859,0,38
884,0,39
911,0,40
936,0,41
955,0,42
971,0,43
988,0,44
1005,0,45
1030,0,46
1057,0,47
1082,0,48
1107,0,49
1134,0,50
1157,0,51
1180,0,52
1207,0,53
1234,0,54
1261,0,55
1286,0,56
1311,0,57
1332,0,58
1355,0,59
1380,0,60
1403,0,61
1427,0,62
1452,0,63
1478,0,64
1499,0,65
1506,0,66
1506,0,67
1506,0,68
1506,0,69
1506,8,70
1506,8,71
1506,8,72
1506,8,73
1506,8,74
1506,8,75
1506,8,76
1506,8,77
1506,8,78
1506,8,79
1506,22,80
1506,22,81
1506,22,82
1506,22,83
1506,22,84
1506,22,85
1506,22,86
1506,22,87
1506,22,88
1506,22,89
1506,33,90
1506,33,91
1506,33,92
1506,33,93
1506,33,94
1506,33,95
1506,33,96
1506,33,97
1506,33,98
1506,33,99
1506,43,100
1506,43,101
1506,43,102
1506,43,103
1506,43,104
1506,43,105
1506,43,106
1506,43,107
1506,43,108
1506,43,109
1506,55,110
1506,55,111
1506,55,112
1506,55,113
1506,55,114
1506,55,115
1506,55,116
1506,55,117
1506,55,118
1506,55,119
1506,56,120
1506,56,121
1506,56,122
1506,56,123
1506,56,124
1506,56,125
1506,56,126
1506,56,127
1506,56,128
1506,56,129
1506,64,130
1506,64,131
1506,64,132
1506,64,133
1506,64,134
1506,64,135
1506,94,136
1492,115,137
1492,123,138
1492,129,139
1492,133,140
1492,133,141
1492,142,142
1492,165,143
1492,165,144
1492,175,145
1492,214,146
1492,214,147
1492,241,148
1492,257,149
1492,266,150
1492,284,151
1492,289,152
1492,294,153
1492,294,154
1492,294,155
1492,309,156
1492,309,157
1492,319,158
1492,344,159
1492,362,160
1492,412,161
1492,417,162
1492,422,163
1492,435,164
1492,435,165
1492,445,166
1492,445,167
1491,457,168
1489,499,169
1489,518,170
1483,530,171
1483,540,172
1483,545,173
1483,590,174
1479,615,175
1479,629,176
1479,636,177
1479,643,178
1479,663,179
1476,730,180
1476,749,181
1475,765,182
1475,779,183
1475,779,184
1475,779,185
1475,779,186
1475,807,187
1475,814,188
1475,821,189
1475,872,190
1475,872,191
1475,896,192
1474,946,193
1474,946,194
1474,946,195
1474,973,196
1463,983,197
1460,995,198
1460,1002,199
1460,1050,200
1460,1073,201
1460,1079,202
1460,1085,203
1460,1091,204
1459,1105,205
1459,1105,206
1459,1123,207
1459,1123,208
1459,1148,209
1459,1156,210
1459,1169,211
1459,1217,212
1459,1248,213
1459,1261,214
1459,1270,215
1459,1270,216
1459,1270,217
1459,1270,218
1459,1315,219
1459,1324,220
1459,1324,221
1459,1389,222
1459,1406,223
1459,1406,224
1459,1424,225
1459,1495,226
1459,1495,227
1459,1495,228
1459,1495,229
1459,1505,230
1459,1529,231
1459,1566,232
1459,1566,233
1459,1585,234
1459,1593,235
1459,1593,236
1459,1593,237
1459,1593,238
1459,1593,239
1459,1594,240
1459,1594,241
1459,1594,242
1459,1594,243
1459,1594,244
1459,1653,245
1459,1653,246
1459,1653,247
1459,1653,248
1459,1653,249
1459,1654,250
1459,1654,251
1459,1654,252
1459,1654,253
1459,1654,254
1459,1654,255
1459,1654,256
1459,1654,257
1459,1654,258
1459,1654,259
1459,1656,260
1459,1656,261
1459,1725,262
1459,1725,263
1459,1725,264
1459,1725,265
1459,1725,266
1459,1725,267
1459,1725,268
1459,1725,269
1459,1727,270
1459,1727,271
1459,1727,272
1459,1727,273
1459,1727,274
1459,1727,275
1459,1727,276
1459,1727,277
1459,1727,278
1459,1727,279
1459,1727,280
1459,1727,281
1459,1727,282
1459,1727,283
1459,1727,284
1459,1727,285
1459,1727,286
1459,1727,287
1459,1727,288
1459,1727,289
1459,1727,290
1459,1727,291
1459,1727,292
1459,1727,293
1459,1727,294
1459,1727,295
1459,1727,296
1459,1727,297
1459,1727,298
1459,1727,299
1459,1727,300
1459,1727,301
1459,1727,302
1459,1727,303
1459,1727,304
1459,1727,305
1459,1727,306
1459,1727,307
1459,1727,308
1459,1727,309
1459,1727,310
1459,1727,311
1459,1727,312
1459,1725,313
1459,1721,314
1459,1714,315
1459,1711,316
1459,1708,317
1459,1701,318
1459,1697,319
1459,1693,320
1459,1686,321
1459,1678,322
1459,1669,323
1459,1660,324
1459,1651,325
1459,1642,326
1459,1633,327
1459,1626,328
1464,1624,329
1471,1622,330
1480,1622,331
1483,1620,332
1483,1620,333
1490,1620,334
1499,1620,335
1503,1620,336
1508,1618,337
1515,1618,338
1516,1618,339
1519,1618,340
1519,1618,341
1524,1618,342
1533,1618,343
1537,1618,344
1544,1618,345
1553,1618,346
1562,1618,347
1571,1618,348
1580,1618,349
1589,1618,350
1598,1618,351
1607,1618,352
1616,1618,353
1625,1618,354
1634,1618,355
1641,1618,356
1648,1618,357
1651,1618,358
1658,1618,359
1665,1618,360
1673,1618,361
1682,1618,362
