dig,dump,it
5,0,0
12,0,1
21,0,2
24,0,3
31,0,4
34,0,5
41,0,6
41,0,7
41,0,8
45,0,9
49,0,10
53,0,11
53,0,12
53,0,13
59,0,14
66,0,15
74,0,16
83,0,17
92,0,18
101,0,19
101,0,20
101,0,21
106,0,22
113,0,23
119,0,24
126,0,25
135,0,26
142,0,27
142,0,28
146,0,29
153,0,30
159,0,31
166,0,32
175,0,33
184,0,34
188,0,35
188,0,36
195,0,37
202,0,38
209,0,39
216,0,40
225,0,41
232,0,42
240,0,43
249,0,44
258,0,45
265,0,46
272,0,47
275,0,48
275,0,49
275,0,50
275,0,51
282,0,52
291,0,53
298,0,54
306,0,55
306,0,56
311,0,57
320,0,58
324,0,59
331,0,60
334,0,61
341,0,62
350,0,63
359,0,64
368,0,65
375,0,66
383,0,67
383,0,68
383,0,69
390,0,70
398,0,71
401,0,72
401,0,73
408,0,74
415,0,75
422,0,76
431,0,77
440,0,78
447,0,79
447,0,80
452,0,81
458,0,82
465,0,83
466,0,84
466,0,85
473,0,86
482,0,87
491,0,88
491,0,89
496,0,90
499,0,91
499,0,92
506,0,93
506,0,94
506,0,95
506,0,96
506,0,97
506,0,98
506,0,99
506,0,100
506,0,101
506,0,102
506,0,103
506,0,104
506,0,105
506,0,106
506,0,107
506,0,108
506,0,109
506,0,110
506,0,111
506,0,112
506,0,113
506,0,114
506,0,115
506,0,116
506,0,117
506,0,118
506,0,119
506,0,120
506,0,121
506,0,122
506,0,123
506,0,124
506,0,125
506,0,126
506,0,127
506,0,128
506,0,129
506,0,130
506,0,131
506,0,132
506,0,133
506,0,134
506,0,135
506,0,136
506,0,137
506,0,138
506,0,139
506,0,140
506,0,141
506,0,142
506,0,143
506,0,144
506,0,145
506,0,146
506,0,147
506,0,148
506,0,149
506,0,150
506,0,151
506,0,152
506,0,153
506,0,154
506,0,155
506,21,156
506,21,157
506,31,158
506,31,159
506,31,160
506,31,161
506,31,162
503,52,163
503,55,164
503,55,165
503,61,166
503,64,167
503,67,168
503,67,169
503,67,170
503,67,171
503,79,172
503,79,173
503,79,174
503,79,175
503,79,176
503,94,177
503,97,178
503,97,179
503,107,180
503,107,181
503,107,182
503,119,183
503,119,184
503,119,185
503,119,186
503,135,187
503,135,188
503,135,189
503,135,190
503,135,191
503,135,192
503,162,193
503,162,194
503,162,195
503,177,196
503,177,197
503,177,198
503,177,199
503,177,200
503,177,201
503,177,202
503,177,203
503,177,204
503,222,205
503,222,206
503,222,207
503,222,208
503,222,209
503,252,210
503,252,211
503,252,212
503,252,213
503,252,214
503,283,215
503,290,216
503,297,217
503,320,218
503,333,219
503,333,220
503,333,221
503,357,222
503,357,223
503,361,224
503,361,225
503,374,226
503,374,227
503,374,228
503,374,229
503,414,230
503,414,231
503,414,232
503,428,233
503,428,234
503,437,235
503,437,236
503,437,237
503,437,238
503,437,239
503,496,240
503,505,241
503,505,242
503,505,243
503,505,244
503,505,245
503,505,246
503,505,247
503,505,248
503,505,249
503,505,250
503,505,251
503,505,252
503,505,253
503,505,254
503,504,255
503,501,256
503,501,257
503,497,258
503,489,259
503,485,260
503,478,261
503,469,262
503,465,263
503,465,264
503,459,265
503,452,266
503,444,267
503,435,268
503,426,269
503,419,270
503,419,271
508,417,272
515,415,273
517,413,274
519,408,275
526,408,276
534,408,277
537,408,278
537,408,279
544,408,280
549,406,281
556,406,282
565,406,283
574,406,284
583,406,285
592,406,286
599,406,287
607,406,288
616,406,289
623,406,290
631,406,291
633,406,292
640,406,293
649,406,294
658,406,295
664,406,296
671,406,297
678,406,298
685,406,299
694,406,300
703,406,301
712,406,302
721,406,303
730,406,304
739,406,305
748,406,306
757,406,307
764,406,308
771,406,309
774,406,310
781,406,311
788,406,312
795,406,313
804,406,314
813,406,315
822,406,316
831,406,317
838,406,318
845,406,319
852,406,320
853,406,321
860,406,322
869,406,323
878,406,324
884,406,325
891,406,326
898,406,327
906,406,328
906,406,329
906,406,330
906,406,331
906,406,332
906,406,333
906,406,334
906,406,335
906,406,336
906,406,337
906,406,338
906,406,339
906,406,340
906,406,341
906,406,342
906,406,343
906,406,344
906,406,345
906,406,346
906,406,347
906,406,348
906,406,349
906,406,350
906,406,351
906,406,352
906,406,353
906,406,354
906,406,355
906,406,356
906,406,357
906,406,358
906,406,359
906,406,360
906,406,361
906,406,362
906,406,363
906,406,364
906,406,365
906,406,366
906,406,367
906,406,368
906,406,369
906,406,370
906,406,371
906,406,372
906,406,373
906,406,374
906,406,375
906,406,376
906,406,377
906,406,378
906,406,379
906,406,380
906,406,381
906,406,382
906,406,383
884,425,384
884,425,385
884,425,386
876,425,387
876,425,388
876,425,389
876,425,390
876,428,391
876,428,392
876,428,393
876,438,394
876,438,395
876,438,396
876,438,397
876,438,398
874,474,399
874,474,400
874,474,401
874,478,402
874,504,403
874,504,404
874,504,405
874,524,406
874,524,407
874,530,408
874,541,409
874,541,410
874,541,411
874,541,412
874,559,413
874,559,414
874,559,415
874,559,416
874,604,417
874,613,418
874,622,419
874,622,420
874,622,421
874,622,422
874,622,423
874,622,424
874,622,425
874,622,426
874,622,427
874,622,428
874,686,429
874,686,430
874,704,431
874,704,432
874,704,433
874,704,434
874,704,435
874,704,436
874,704,437
874,704,438
874,704,439
874,769,440
874,769,441
874,769,442
874,796,443
874,796,444
874,796,445
874,796,446
874,796,447
874,796,448
874,848,449
874,848,450
874,866,451
874,875,452
874,875,453
874,875,454
874,875,455
874,875,456
874,875,457
874,875,458
874,875,459
874,875,460
874,875,461
874,875,462
874,875,463
874,875,464
874,875,465
874,875,466
874,875,467
874,875,468
874,875,469
874,875,470
874,875,471
874,875,472
874,875,473
874,875,474
874,875,475
874,875,476
874,875,477
874,875,478
874,875,479
874,875,480
874,875,481
874,875,482
874,875,483
874,875,484
874,875,485
874,875,486
874,875,487
874,875,488
874,875,489
874,875,490
874,875,491
874,875,492
874,874,493
874,871,494
874,865,495
874,864,496
874,864,497
874,861,498
874,854,499
874,846,500
874,843,501
874,836,502
874,827,503
874,818,504
874,812,505
874,805,506
874,796,507
874,796,508
874,795,509
874,792,510
874,785,511
874,782,512
874,782,513
874,782,514
874,782,515
874,782,516
874,775,517
879,771,518
880,768,519
886,767,520
895,767,521
904,767,522
908,766,523
915,766,524
918,766,525
925,766,526
934,766,527
943,766,528
952,766,529
961,766,530
970,766,531
977,766,532
984,766,533
987,766,534
987,766,535
994,766,536
997,766,537
1004,766,538
1013,766,539
1020,766,540
1027,766,541
1030,766,542
1035,766,543
1035,766,544
1040,766,545
1049,766,546
1058,766,547
1063,766,548
1070,766,549
1079,766,550
1088,766,551
1097,766,552
1097,766,553
1100,766,554
1103,766,555
1110,766,556
1119,766,557
1128,766,558
1135,766,559
1142,766,560
1151,766,561
1160,766,562
1167,766,563
1175,766,564
1175,766,565
1180,766,566
1183,766,567
1190,766,568
1197,766,569
1204,766,570
1213,766,571
1222,766,572
1227,766,573
1227,766,574
1234,766,575
1243,766,576
1250,766,577
1257,766,578
1266,766,579
1266,766,580
1266,766,581
1266,766,582
1266,766,583
1266,766,584
1266,766,585
1266,766,586
1266,766,587
1266,766,588
1266,766,589
1266,766,590
1266,766,591
1266,766,592
1266,766,593
1266,766,594
1266,766,595
1266,766,596
1266,766,597
1266,766,598
1266,766,599
1266,766,600
1266,766,601
1266,766,602
1266,766,603
1266,766,604
1266,766,605
1266,766,606
1266,766,607
1266,766,608
1266,766,609
1266,766,610
1266,766,611
1266,766,612
1266,766,613
1266,766,614
1266,766,615
1266,766,616
1266,766,617
1266,766,618
1266,766,619
1266,766,620
1266,766,621
1266,766,622
1266,766,623
1266,766,624
1266,766,625
1266,766,626
1266,766,627
1266,766,628
1266,766,629
1266,766,630
1266,766,631
1266,766,632
1266,766,633
1230,769,634
1230,769,635
1230,769,636
1230,769,637
1217,769,638
1217,769,639
1217,769,640
1210,769,641
1210,769,642
1210,769,643
