dig,dump,it
15,0,0
30,0,1
54,0,2
68,0,3
84,0,4
103,0,5
118,0,6
134,0,7
158,0,8
182,0,9
201,0,10
222,0,11
239,0,12
263,0,13
277,0,14
298,0,15
323,0,16
349,0,17
373,0,18
395,0,19
416,0,20
426,0,21
447,0,22
462,0,23
484,0,24
505,0,25
520,0,26
541,0,27
566,0,28
590,0,29
615,0,30
642,0,31
667,0,32
688,0,33
713,0,34
735,0,35
760,0,36
785,0,37
810,0,38
835,0,39
857,0,40
878,0,41
901,0,42
925,0,43
947,0,44
970,0,45
988,0,46
1013,0,47
1033,0,48
1049,0,49
1067,0,50
1083,0,51
1104,0,52
1129,0,53
1148,0,54
1171,0,55
1181,0,56
1200,0,57
1222,0,58
1245,0,59
1268,0,60
1293,0,61
1316,0,62
1336,0,63
1359,0,64
1383,0,65
1406,0,66
1429,0,67
1450,0,68
1468,0,69
1479,0,70
1488,0,71
1494,0,72
1501,0,73
1510,0,74
1510,0,75
1510,0,76
1510,0,77
1510,0,78
1510,0,79
1510,15,80
1510,15,81
1510,15,82
1510,15,83
1510,15,84
1510,15,85
1510,15,86
1510,15,87
1510,15,88
1510,15,89
1510,27,90
1510,27,91
1510,27,92
1510,27,93
1510,27,94
1510,27,95
1510,27,96
1510,27,97
