dig,dump,employment,it
5,0,0.0,0
6,0,0.0,1
6,0,0.0,2
12,0,0.0,3
14,0,0.0,4
21,0,0.0,5
24,0,0.0,6
24,0,0.0,7
31,0,0.0,8
40,0,0.0,9
49,0,0.0,10
58,0,0.0,11
64,0,0.0,12
71,0,0.0,13
78,0,0.0,14
85,0,0.0,15
94,0,0.0,16
101,0,0.0,17
108,0,0.0,18
117,0,0.0,19
124,0,0.0,20
131,0,0.0,21
140,0,0.0,22
147,0,0.0,23
154,0,0.0,24
163,0,0.0,25
167,0,0.0,26
174,0,0.0,27
183,0,0.0,28
190,0,0.0,29
190,0,0.0,30
197,0,0.0,31
200,0,0.0,32
207,0,0.0,33
216,0,0.0,34
223,0,0.0,35
230,0,0.0,36
239,0,0.0,37
243,0,0.0,38
249,0,0.0,39
256,0,0.0,40
257,0,0.0,41
