dig,dump,employment,it
5,0,0.0,0
6,0,0.0,1
7,0,0.0,2
8,0,0.0,3
8,0,0.0,4
13,0,0.0,5
15,0,0.0,6
17,0,0.0,7
24,0,0.0,8
32,0,0.0,9
41,0,0.0,10
45,0,0.0,11
49,0,0.0,12
54,0,0.0,13
54,0,0.0,14
54,0,0.0,15
61,0,0.0,16
69,0,0.0,17
71,0,0.0,18
78,0,0.0,19
87,0,0.0,20
96,0,0.0,21
102,0,0.0,22
109,0,0.0,23
109,0,0.0,24
114,0,0.0,25
117,0,0.0,26
117,0,0.0,27
120,0,0.0,28
127,0,0.0,29
134,0,0.0,30
141,0,0.0,31
148,0,0.0,32
155,0,0.0,33
164,0,0.0,34
168,0,0.0,35
168,0,0.0,36
175,0,0.0,37
178,0,0.0,38
185,0,0.0,39
194,0,0.0,40
203,0,0.0,41
212,0,0.0,42
221,0,0.0,43
230,0,0.0,44
239,0,0.0,45
246,0,0.0,46
254,0,0.0,47
254,0,0.0,48
259,0,0.0,49
268,0,0.0,50
272,0,0.0,51
279,0,0.0,52
286,0,0.0,53
294,0,0.0,54
